Velo,Total spin,True Spin,Spin Eff,Spin Direct,H. BREAK,V_BREAK,HORZ. ANGLE,GYRO,Pitch Type,BU,Pitcher,Handedness
90,0,0,0,0,0,0,0,0,Fastball?,0,Jake McKenna,L
90.3,0,0,0,0,0,0,0,0,Fastball?,0,Jake McKenna,L
0,0,0,0,0,0,0,0,0,Change up?,0,Jake McKenna,L
0,0,0,0,0,0,0,0,0,Change up?,0,Jake McKenna,L
82.6,0,0,0,0,0,0,0,0,Change up?,0,Jake McKenna,L
0,0,0,0,0,0,0,0,0,Change up?,0,Jake McKenna,L
81.1,0,0,0,0,0,0,0,0,Change up?,0,Jake McKenna,L
89.3,0,0,0,0,0,0,0,0,Fastball?,0,Jake McKenna,L
72.2,2207,1214,55,05h:48m,1.3,-11.5,-1.9,-56.6,Curve ball?,30.56786704,Jake McKenna,L
72.7,2205,1222,55.4,05h:40m,1.6,-12.4,-0.2,-56.3,Curve ball?,30.3301238,Jake McKenna,L
73.3,2223,1123,50.5,05h:38m,1.9,-11.3,-0.5,-59.7,Curve ball?,30.32742156,Jake McKenna,L
72,2096,1185,56.5,05h:08m,5.7,-11,-0.8,-55.6,Curve ball?,29.11111111,Jake McKenna,L
74.4,2113,1169,55.3,05h:10m,4.9,-11,-0.1,-56.4,Curve ball?,28.40053763,Jake McKenna,L
89.7,2236,2032,90.9,11h:40m,-3.4,18.6,-0.4,-24.6,Fastball?,24.92753623,Jake McKenna,L
90.3,2243,2088,93.1,11h:28m,-5.7,18.8,-0.1,-21.5,Fastball?,24.83942414,Jake McKenna,L
89.5,2218,2111,95.2,11h:44m,-3,19.5,-0.5,-17.9,Fastball?,24.78212291,Jake McKenna,L
89.8,2185,1967,90,11h:40m,-3.6,18.7,-1.1,-25.8,Fastball?,24.33184855,Jake McKenna,L
88.5,2131,2064,96.9,11h:52m,-1.5,19.4,0.7,-14.4,Fastball?,24.07909605,Jake McKenna,L
89.3,2143,1797,83.8,11h:40m,-3,17.1,-0.9,-33,Fastball?,23.99776036,Jake McKenna,L
90.6,2134,1919,90,11h:20m,-6.7,17.1,0.2,-25.9,Fastball?,23.55408389,Jake McKenna,L
90.6,2088,2013,96.4,11h:22m,-6.2,18.2,-0.2,-15.5,Fastball?,23.04635762,Jake McKenna,L
78.4,1523,1473,96.7,11h:18m,-6.4,17.1,0.2,-14.8,Change up?,19.42602041,Jake McKenna,L
62.8,0,0,0,0,0,0,0,0,Fastball?,0,Chase Petty,R
73.3,2593,2392,92.3,03h:54m,14.9,-8,-2,22.7,Fastball?,35.37517053,Chase Petty,R
73.2,1909,1658,86.9,01h:42m,10.7,8.5,-1.6,29.7,Fastball?,26.07923497,Chase Petty,R
77.4,1956,1903,97.3,01h:58m,14.3,8.6,-2.2,13.3,Fastball?,25.27131783,Chase Petty,R
83.6,0,0,0,0,0,0,0,0,Fastball?,0,Chase Petty,R
81.3,2096,2085,99.5,01h:48m,16.8,11.9,-1.5,5.8,Fastball?,25.78105781,Chase Petty,R
94,2368,2365,99.9,01h:50m,17.6,12,0.5,2.7,Fastball?,25.19148936,Chase Petty,R
91,2258,2220,98.3,01h:46m,16.7,12.4,-0.5,-10.6,Fastball?,24.81318681,Chase Petty,R
81.8,0,0,0,0,0,0,0,0,Fastball?,0,Chase Petty,R
83.8,1704,1333,78.2,01h:02m,7.5,12.9,0.9,38.5,Fastball?,20.33412888,Chase Petty,R
92.3,2244,2223,99.1,01h:52m,16.9,11.4,0.6,-7.8,Fastball?,24.312026,Chase Petty,R
80.8,2381,645,27.1,08h:26m,-6.7,-1,2,74.3,Slider?,29.46782178,Chase Petty,R
80.8,2468,438,17.8,09h:06m,-4.4,0.2,-0.3,79.8,Slider?,30.54455446,Chase Petty,R
92,2225,2213,99.5,01h:30m,14.9,14.8,0,-5.8,Slider?,24.18478261,Chase Petty,R
82.8,0,0,0,0,0,0,0,0,Change up?,0,Chase Petty,R
93.2,2224,2218,99.7,01h:36m,15.6,14.1,0,4.1,2 Seam fastball?,23.86266094,Chase Petty,R
82.2,0,0,0,0,0,0,0,0,Change up?,0,Chase Petty,R
82.2,2349,422,18,08h:02m,-4.1,-1.4,1.1,79.7,Slider?,28.57664234,Chase Petty,R
0,0,0,0,0,0,0,0,0,Slider?,0,Chase Petty,R
79.5,2274,846,37.2,07h:42m,-7.1,-4.3,2.3,68.2,Slider?,28.60377358,Chase Petty,R
82.5,2400,507,21.1,11h:12m,-1.2,4.9,0.7,77.8,Slider?,29.09090909,Chase Petty,R
92.4,2248,2240,99.6,01h:54m,17.5,11.2,-1.6,4.8,2 Seam fastball?,24.32900433,Chase Petty,R
90.6,2130,2130,100,01h:50m,16.9,11.9,-0.3,1,2 Seam fastball?,23.50993377,Chase Petty,R
